,,Sem 1,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Sem 11,Sem 11,Sem 12,Sem 12,Sem 13,Votos recebidos
,Kaysar,Nãoelegível,Viegas,Viegas,Viegas,Lucas,Lucas,Gleici,Wagner,Wagner,Gleici,Ana Clara& Ayrton,Líder,Paula,Breno,Líder,2º lugar(Dia 88),3
,Ana Clara& Ayrton,Indicada,Diego,Diego,Ana Paula,Líderes,Líderes,Diego,Diego,Jéssica,Caruso,Viegas,Viegas,Jéssica,Salvos,Nãoelegíveis,3º lugar(Dia 88),10
,Ana Clara& Ayrton,Indicado,Diego,Diego,Ana Paula,Líderes,Líderes,Diego,Diego,Jéssica,Caruso,Viegas,Viegas,Jéssica,Salvos,Nãoelegíveis,3º lugar(Dia 88),10
,Paula,Nãoelegível,Patrícia,Ana Paula,Ana Paula,Diego,Caruso,Diego,Líder,Caruso,Caruso,Viegas,Viegas,Ana Clara& Ayrton,Líder,Ana Clara& Ayrton,Eliminada(Dia 86),5
,Breno,Nãoelegível,Gleici,Caruso,Ana Paula,Gleici,Wagner,Wagner,Diego,Caruso,Líder,Ana Clara& Ayrton,Viegas,Líder,Nãoelegível,Eliminado(Dia 85),Eliminado(Dia 85),5
,Jéssica,Nãoelegível,Diego,Ana Paula,Ana Paula,Gleici,Caruso,Gleici,Líder,Caruso,Caruso,Ana Clara& Ayrton,Gleici,Gleici,Eliminada(Dia 79),Eliminada(Dia 79),Eliminada(Dia 79),19
,Viegas,Nãoelegível,Jéssica,Mahmoud,Mahmoud,Mahmoud,Jéssica,Mahmoud,Jéssica,Jéssica,Gleici,Ana Clara& Ayrton,Ana Clara& Ayrton,Eliminado(Dia 77),Eliminado(Dia 77),Eliminado(Dia 77),Eliminado(Dia 77),10
,Wagner,Nãoelegível,Jéssica,Mahmoud,Mahmoud,Mahmoud,Jéssica,Mahmoud,Diego,Jéssica,Líder,Jéssica,Eliminado(Dia 72),Eliminado(Dia 72),Eliminado(Dia 72),Eliminado(Dia 72),Eliminado(Dia 72),6
,Caruso,Nãoelegível,Jéssica,Mahmoud,Mahmoud,Mahmoud,Jéssica,Mahmoud,Jéssica,Jéssica,Gleici,Eliminado(Dia 65),Eliminado(Dia 65),Eliminado(Dia 65),Eliminado(Dia 65),Eliminado(Dia 65),Eliminado(Dia 65),16
,Diego,Nãoelegível,Jéssica,Mahmoud,Líder,Gleici,Paula,Gleici,Breno,Breno,Eliminado(Dia 58),Eliminado(Dia 58),Eliminado(Dia 58),Eliminado(Dia 58),Eliminado(Dia 58),Eliminado(Dia 58),Eliminado(Dia 58),15
,Patrícia,Nãoelegível,Jéssica,Mahmoud,Mahmoud,Gleici,Gleici,GleiciMahmoud,Breno,Eliminada(Dia 51),Eliminada(Dia 51),Eliminada(Dia 51),Eliminada(Dia 51),Eliminada(Dia 51),Eliminada(Dia 51),Eliminada(Dia 51),Eliminada(Dia 51),2
,Mahmoud,Nãoelegível,Líder,Ana Paula,Ana Paula,Caruso,Caruso,Wagner,Eliminado(Dia 44),Eliminado(Dia 44),Eliminado(Dia 44),Eliminado(Dia 44),Eliminado(Dia 44),Eliminado(Dia 44),Eliminado(Dia 44),Eliminado(Dia 44),Eliminado(Dia 44),20
,Lucas,Nãoelegível,Gleici,Líder,Ana Paula,Gleici,Caruso,Eliminado(Dia 37),Eliminado(Dia 37),Eliminado(Dia 37),Eliminado(Dia 37),Eliminado(Dia 37),Eliminado(Dia 37),Eliminado(Dia 37),Eliminado(Dia 37),Eliminado(Dia 37),Eliminado(Dia 37),4
,Nayara,Nãoelegível,Jéssica,Mahmoud,Mahmoud,Caruso,Eliminada(Dia 30),Eliminada(Dia 30),Eliminada(Dia 30),Eliminada(Dia 30),Eliminada(Dia 30),Eliminada(Dia 30),Eliminada(Dia 30),Eliminada(Dia 30),Eliminada(Dia 30),Eliminada(Dia 30),Eliminada(Dia 30),1
,Ana Paula,Nãoelegível,Jéssica,Mahmoud,Mahmoud,Eliminada(Dia 23),Eliminada(Dia 23),Eliminada(Dia 23),Eliminada(Dia 23),Eliminada(Dia 23),Eliminada(Dia 23),Eliminada(Dia 23),Eliminada(Dia 23),Eliminada(Dia 23),Eliminada(Dia 23),Eliminada(Dia 23),Eliminada(Dia 23),12
,Jaqueline,Nãoelegível,Gleici,Ana Clara& Ayrton,Eliminada(Dia 16),Eliminada(Dia 16),Eliminada(Dia 16),Eliminada(Dia 16),Eliminada(Dia 16),Eliminada(Dia 16),Eliminada(Dia 16),Eliminada(Dia 16),Eliminada(Dia 16),Eliminada(Dia 16),Eliminada(Dia 16),Eliminada(Dia 16),Eliminada(Dia 16),0
,Mara,Nãoelegível,Caruso,Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),Eliminada(Dia 9),1
,Jorge,Indicado,Eliminado(Dia 7),Eliminado(Dia 7),Eliminado(Dia 7),Eliminado(Dia 7),Eliminado(Dia 7),Eliminado(Dia 7),Eliminado(Dia 7),Eliminado(Dia 7),Eliminado(Dia 7),Eliminado(Dia 7),Eliminado(Dia 7),Eliminado(Dia 7),Eliminado(Dia 7),Eliminado(Dia 7),Eliminado(Dia 7),0
,Eva,Indicada,Eliminada(Dia 7),Eliminada(Dia 7),Eliminada(Dia 7),Eliminada(Dia 7),Eliminada(Dia 7),Eliminada(Dia 7),Eliminada(Dia 7),Eliminada(Dia 7),Eliminada(Dia 7),Eliminada(Dia 7),Eliminada(Dia 7),Eliminada(Dia 7),Eliminada(Dia 7),Eliminada(Dia 7),Eliminada(Dia 7),0
,,,,,,,,,,,,,,,,,,,
Notas,Notas,1,"2, 3, 4","5, 6","7, 8, 9",10,11,"12, 13, 14, 15","16, 17, 18, 19","20, 21, 22","23, 24, 25","26, 27",28,29,"30, 31",32,33,
Paredão,Paredão,Ana ClaraAyrtonEvaJorge,Ana PaulaMara,GleiciJaquelineMahmoud,Ana Clara& AyrtonAna PaulaPaula,GleiciMahmoudNayara,CarusoDiegoLucas,GleiciMahmoudPaula,CarusoDiegoPatrícia,DiegoGleiciJéssica,Ana Clara& AyrtonCarusoKaysar,Ana Clara& AyrtonWagner,BrenoViegas,JéssicaKaysar,BrenoKaysar,Ana Clara& AyrtonPaula,Ana Clara& AyrtonGleiciKaysar,
Eliminado,Eliminado,"Eva10,66%para continuar","Mara55,45%para eliminar","Jaqueline65,25%para eliminar","Ana Paula89,85%para eliminar","Nayara92,69%para eliminar","Lucas49,92%para eliminar","Mahmoud57,23%para eliminar","Patrícia94,26%para eliminar","Diego81,07%para eliminar","Caruso81,56%para eliminar","Wagner59,50%para eliminar","Viegas57,64%para eliminar","Jéssica73,96%para eliminar","Breno88,34%para eliminar","Paula62,19%para eliminar","Ana Clara& Ayrton3,39% para vencer",
Eliminado,Eliminado,"Jorge21,24%para continuar","Mara55,45%para eliminar","Jaqueline65,25%para eliminar","Ana Paula89,85%para eliminar","Nayara92,69%para eliminar","Lucas49,92%para eliminar","Mahmoud57,23%para eliminar","Patrícia94,26%para eliminar","Diego81,07%para eliminar","Caruso81,56%para eliminar","Wagner59,50%para eliminar","Viegas57,64%para eliminar","Jéssica73,96%para eliminar","Breno88,34%para eliminar","Paula62,19%para eliminar","Kaysar39,33% para vencer",
Outras %,Outras %,"Ayrton23,84%para continuar","Ana Paula44,55%para eliminar","Mahmoud30,32%para eliminar","Ana Clara& Ayrton7,19%para eliminar","Mahmoud4,03%para eliminar","Diego40,68%para eliminar","Paula39,28%para eliminar","Diego3,30%para eliminar","Gleici13,96%para eliminar","Ana Clara& Ayrton11,54%para eliminar","Ana Clara& Ayrton40,50%para eliminar","Breno42,36%para eliminar","Kaysar26,04%para eliminar","Kaysar11,66%para eliminar","Ana Clara& Ayrton37,81%para eliminar","Gleici57,28%para vencer",
Outras %,Outras %,"Ana Clara44,26%para continuar","Ana Paula44,55%para eliminar","Gleici4,43%para eliminar","Paula2,96%para eliminar","Gleici3,28%para eliminar","Caruso9,40%para eliminar","Gleici3,49%para eliminar","Caruso2,44%para eliminar","Jéssica4,97%para eliminar","Kaysar6,90%para eliminar","Ana Clara& Ayrton40,50%para eliminar","Breno42,36%para eliminar","Kaysar26,04%para eliminar","Kaysar11,66%para eliminar","Ana Clara& Ayrton37,81%para eliminar","Gleici57,28%para vencer",
