,Tessália,Nãoelegível,Joseane,Ana Marcela,Fernanda,Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),6
,Ana Marcela,Nãoelegível,Tessália,Tessália,Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),1
,Joseane,Líder,Tessália,Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),5
,,,,,,,,,,,,,,,,,,
Notas,Notas,[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],(nenhum),(nenhum),(nenhum),[12],[13],
Paredão,Paredão,CláudiaElenitaJoseane,CláudiaElenitaJoseane,AlexAna MarcelaAngélica,AlexAnamaraTessália,AlexEliéserFernanda,DouradoLiaUilliam,AnamaraElenitaLia,AngélicaDicesarDourado,CláudiaDouradoLia,DicesarDouradoEliéser,AnamaraMichel,DicesarSérgio,AnamaraLia,DicesarDourado,FernandaLia,CaduDouradoFernanda,
Eliminado,Eliminado,Joseane61%para eliminar,Joseane61%para eliminar,Ana Marcela38%para eliminar,Tessália78%para eliminar,Alex56%para eliminar,Uilliam58%para eliminar,Elenita52%para eliminar,Angélica55%para eliminar,Cláudia62%para eliminar,Eliéser59%para eliminar,Michel63%para eliminar,Sérgio53%para eliminar,Anamara57%para eliminar,Dicesar58%para eliminar,Lia51%para eliminar,Cadu11%para vencer,
Eliminado,Eliminado,Joseane61%para eliminar,Joseane61%para eliminar,Ana Marcela38%para eliminar,Tessália78%para eliminar,Alex56%para eliminar,Uilliam58%para eliminar,Elenita52%para eliminar,Angélica55%para eliminar,Cláudia62%para eliminar,Eliéser59%para eliminar,Michel63%para eliminar,Sérgio53%para eliminar,Anamara57%para eliminar,Dicesar58%para eliminar,Lia51%para eliminar,Fernanda29%para vencer,
Outras %,Outras %,Elenita33%para eliminar,Elenita33%para eliminar,Angélica36%para eliminar,Anamara13%para eliminar,Fernanda26%para eliminar,Lia30%para eliminar,Lia41%para eliminar,Dourado38%para eliminar,Lia27%para eliminar,Dourado27%para eliminar,Anamara37%para eliminar,Dicesar47%para eliminar,Lia43%para eliminar,Dourado42%para eliminar,Fernanda49%para eliminar,Dourado60%para vencer,
Outras %,Outras %,Cláudia6%para eliminar,Cláudia6%para eliminar,Alex26%para eliminar,Alex9%para eliminar,Eliéser18%para eliminar,Dourado12%para eliminar,Anamara7%para eliminar,Dicesar7%para eliminar,Dourado11%para eliminar,Dicesar14%para eliminar,Anamara37%para eliminar,Dicesar47%para eliminar,Lia43%para eliminar,Dourado42%para eliminar,Fernanda49%para eliminar,Dourado60%para vencer,
