,,Sem 1,Sem 1,Sem 2,Sem 3,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 8,Sem 9,Sem 10,Sem 10,Sem 11,Sem 11,Votos recebidos
,Marcello,BolhaBBB,Ausente,Dhomini,Fernanda,Fernanda,Natália,Anamara,Natália,Fani,André,Eliminado(Dia 55),Eliminado(Dia 55),Eliminado(Dia 55),Eliminado(Dia 55),Eliminado(Dia 55),Eliminado(Dia 55),21
,Eliéser,CasaBBB,Ivan,Dhomini,Líder,Fani,Marcello,Ivan,Ivan,Nasser,Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),3
,Ivan,CasaBBB,Aslan,Líder,Kamilla,Kamilla,Eliéser,Fernanda,Natália,Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),10
,Marien,CasaBBB,André,Yuri,Kamilla,André,Líder,Fernanda,Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),6
,Yuri,Ausente,André,Eliéser,Kamilla,Marien,Marcello,Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),6
,Aslan,CasaBBB,Ivan,Dhomini,Marcello,Andressa,Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),3
,Dhomini,CasaBBB,André,Eliéser,Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),6
,Aline,CasaBBB,Fernanda,Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),1
,Bambam,CasaBBB,Desistente(Dia 5),Desistente(Dia 5),Desistente(Dia 5),Desistente(Dia 5),Desistente(Dia 5),Desistente(Dia 5),Desistente(Dia 5),Desistente(Dia 5),Desistente(Dia 5),Desistente(Dia 5),Desistente(Dia 5),Desistente(Dia 5),Desistente(Dia 5),Desistente(Dia 5),Desistente(Dia 5),0
,André Coelho,BolhaBBB,Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),0
,Bernardo,BolhaBBB,Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),0
,Kelly,BolhaBBB,Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),0
,Samara,BolhaBBB,Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),0
,,,,,,,,,,,,,,,,,,
Notas,Notas,1,"2, 3, 4",(nenhuma),5,"6, 7","8, 9, 10",11,12,13,"14, 15, 16",17,"18, 19",(nenhuma),20,"21, 22",23,
Paredão,Paredão,André CoelhoBernardoMarcello,AlineIvan,AnamaraDhomini,AnamaraMarcello,AslanMarcello,FaniMarcelloYuri,EliéserFernandaMarien,EliéserIvanKamilla,EliéserMarcelloNasser,FaniKamillaMarcello,AnamaraFaniNasser,AndressaKamillaNasser,FaniNasser,AndréFernanda,FernandaNatália,AndressaFernandaNasser,
Paredão,Paredão,KamillaKellySamara,AlineIvan,AnamaraDhomini,AnamaraMarcello,AslanMarcello,FaniMarcelloYuri,EliéserFernandaMarien,EliéserIvanKamilla,EliéserMarcelloNasser,FaniKamillaMarcello,AnamaraFaniNasser,AndressaKamillaNasser,FaniNasser,AndréFernanda,FernandaNatália,AndressaFernandaNasser,
Desistente,Desistente,(nenhum),Bambam,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Eliminado,Eliminado,André CoelhoNão divulgadopara entrar,Aline77%para eliminar,Dhomini54%para eliminar,Anamara57%para beneficiar,Aslan79%para eliminar,"Yuri45,68%para eliminar",Marien51%para eliminar,Ivan48%para eliminar,Eliéser46%para eliminar,"Marcello47,35%para eliminar",Anamara48%para eliminar,Kamilla68%para eliminar,Fani62%para eliminar,"André74,87%para eliminar","Natália66,39%para eliminar","Andressa8,92%para vencer",
Eliminado,Eliminado,BernardoNão divulgadopara entrar,Aline77%para eliminar,Dhomini54%para eliminar,Anamara57%para beneficiar,Aslan79%para eliminar,"Yuri45,68%para eliminar",Marien51%para eliminar,Ivan48%para eliminar,Eliéser46%para eliminar,"Marcello47,35%para eliminar",Anamara48%para eliminar,Kamilla68%para eliminar,Fani62%para eliminar,"André74,87%para eliminar","Natália66,39%para eliminar","Andressa8,92%para vencer",
Eliminado,Eliminado,KellyNão divulgadopara entrar,Aline77%para eliminar,Dhomini54%para eliminar,Anamara57%para beneficiar,Aslan79%para eliminar,"Yuri45,68%para eliminar",Marien51%para eliminar,Ivan48%para eliminar,Eliéser46%para eliminar,"Marcello47,35%para eliminar",Anamara48%para eliminar,Kamilla68%para eliminar,Fani62%para eliminar,"André74,87%para eliminar","Natália66,39%para eliminar","Nasser28,29%para vencer",
Eliminado,Eliminado,SamaraNão divulgadopara entrar,Aline77%para eliminar,Dhomini54%para eliminar,Anamara57%para beneficiar,Aslan79%para eliminar,"Yuri45,68%para eliminar",Marien51%para eliminar,Ivan48%para eliminar,Eliéser46%para eliminar,"Marcello47,35%para eliminar",Anamara48%para eliminar,Kamilla68%para eliminar,Fani62%para eliminar,"André74,87%para eliminar","Natália66,39%para eliminar","Nasser28,29%para vencer",
Outras %,Outras %,MarcelloNão divulgadopara entrar,Ivan23%para eliminar,Anamara46%para eliminar,Marcello43%para beneficiar,Marcello21%para eliminar,"Marcello44,56%para eliminar",Eliéser41%para eliminar,Eliéser44%para eliminar,Nasser41%para eliminar,"Kamilla46,55%para eliminar",Nasser36%para eliminar,Andressa24%para eliminar,Nasser38%para eliminar,"Fernanda25,13%para eliminar","Fernanda33,61%para eliminar","Fernanda62,79%para vencer",
Outras %,Outras %,KamillaNão divulgadopara entrar,Ivan23%para eliminar,Anamara46%para eliminar,Marcello43%para beneficiar,Marcello21%para eliminar,"Fani9,76%para eliminar",Fernanda8%para eliminar,Kamilla8%para eliminar,Marcello13%para eliminar,"Fani6,10%para eliminar",Fani16%para eliminar,Nasser8%para eliminar,Nasser38%para eliminar,"Fernanda25,13%para eliminar","Fernanda33,61%para eliminar","Fernanda62,79%para vencer",
